No,;Time;Source;Destination;Protocol;Length;Info;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
139;15,91560;162.159.130.234;192,168,100,21;TLSv1,2;172;Application Data;;15,91560;15,91567;6,6E-05;;-0,138528;0,138594;0,277122
140;15,91567;192,168,100,21;162.159.130.234;TCP;82;[TCP Dup ACK 106#5] 61541  >  443 [ACK] Seq=55 Ack=5457 Win=514 Len=0 SLE=6637 SRE=6979 SLE=6007 SRE=6427 SLE=5583 SRE=5902;;15,91567;16,05426;0,138594;;-0,159493;0,298087;0,45758
141;16,05426;192,168,100,21;44.194.132.209;TLSv1,2;317;Application Data;;16,05426;16,35235;0,298087;;0,282811;0,015276;-0,267535
142;16,35235;192,168,100,21;50,116,58,41;TLSv1,2;82;Application Data;;16,35235;16,36762;0,015276;;-0,297267;0,312543;0,60981
143;16,36762;192,168,100,21;44.194.132.209;TCP;317;[TCP Retransmission] 62381  >  443 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=263;;16,36762;16,68017;0,312543;;-0,102887;0,41543;0,518317
144;16,68017;192,168,100,21;44.194.132.209;TCP;317;[TCP Retransmission] 62381  >  443 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=263;;16,68017;17,09560;0,41543;;0,228539;0,186891;-0,041648
145;17,09560;192,168,100,21;50,116,58,41;TCP;82;[TCP Retransmission] 51145  >  8443 [PSH, ACK] Seq=29 Ack=25 Win=509 Len=28;;17,09560;17,28249;0,186891;;-0,514097;0,700988;1,215085
146;17,28249;192,168,100,21;44.194.132.209;TCP;317;[TCP Retransmission] 62381  >  443 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=263;;17,28249;17,98348;0,700988;;0,317372;0,383616;0,066244
155;17,98348;192,168,100,21;50,116,58,41;TCP;82;[TCP Retransmission] 51145  >  8443 [PSH, ACK] Seq=29 Ack=25 Win=509 Len=28;;17,98348;18,36709;0,383616;;0,258653;0,124963;-0,13369
157;18,36709;192,168,100,21;20,197,71,89;TLSv1,2;98;Application Data;;18,36709;18,49206;0,124963;;-0,032583;0,157546;0,190129
163;18,49206;192,168,100,21;44.194.132.209;TCP;317;[TCP Retransmission] 62381  >  443 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=263;;18,49206;18,64960;0,157546;;-0,156952;0,314498;0,47145
164;18,64960;192,168,100,21;20,197,71,89;TCP;98;[TCP Retransmission] 62308  >  443 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=44;;18,64960;18,96410;0,314498;;0,17519;0,139308;-0,035882
167;18,96410;192,168,100,21;20,197,71,89;TCP;98;[TCP Retransmission] 62308  >  443 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=44;;18,96410;19,10341;0,139308;;-0,005341;0,144649;0,14999
169;19,10341;192,168,100,21;157,240,217,60;TLSv1,2;94;Application Data;;19,10341;19,24806;0,144649;;-0,17837;0,323019;0,501389
173;19,24806;74.125.200.188;192,168,100,21;TCP;68;5228  >  50935 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2;;19,24806;19,57108;0,323019;;0,139551;0,183468;0,043917
176;19,57108;192,168,100,21;20,197,71,89;TCP;98;[TCP Retransmission] 62308  >  443 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=44;;19,57108;19,75454;0,183468;;-0,630797;0,814265;1,445062
179;19,75454;192,168,100,21;50,116,58,41;TCP;82;[TCP Retransmission] 51145  >  8443 [PSH, ACK] Seq=29 Ack=25 Win=509 Len=28;;19,75454;20,56881;0,814265;;0,813784;0,000481;-0,813303
187;20,56881;192,168,100,21;74.125.200.119;TLSv1,2;93;Application Data;;20,56881;20,56929;0,000481;;0,000395;8,6E-05;-0,000309
188;20,56929;192,168,100,21;74.125.200.119;TLSv1,2;78;Application Data;;20,56929;20,56938;8,6E-05;;-0,20212;0,202206;0,404326
189;20,56938;192,168,100,21;74.125.200.119;TCP;54;62203  >  443 [FIN, ACK] Seq=64 Ack=1 Win=4098 Len=0;;20,56938;20,77158;0,202206;;0,124434;0,077772;-0,046662
191;20,77158;192,168,100,21;20,197,71,89;TCP;98;[TCP Retransmission] 62308  >  443 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=44;;20,77158;20,84935;0,077772;;0,030294;0,047478;0,017184
192;20,84935;192,168,100,21;74.125.200.119;TCP;117;[TCP Retransmission] 62203  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=4098 Len=63;;20,84935;20,89683;0,047478;;-0,217316;0,264794;0,48211
193;20,89683;192,168,100,21;44.194.132.209;TCP;317;[TCP Retransmission] 62381  >  443 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=263;;20,89683;21,16163;0,264794;;-0,338593;0,603387;0,94198
194;21,16163;192,168,100,21;74.125.200.119;TCP;117;[TCP Retransmission] 62203  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=4098 Len=63;;21,16163;21,76501;0,603387;;0,385975;0,217412;-0,168563
195;21,76501;192,168,100,21;74.125.200.119;TCP;117;[TCP Retransmission] 62203  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=4098 Len=63;;21,76501;21,98242;0,217412;;0,19218;0,025232;-0,166948
197;21,98242;192,168,100,21;20,197,71,89;TCP;98;[TCP Retransmission] 62308  >  443 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=44;;21,98242;22,00766;0,025232;;0,024833;0,000399;-0,024434
198;22,00766;192,99,44,195;192,168,100,21;TLSv1,2;80;Application Data;;22,00766;22,00806;0,000399;;-0,300932;0,301331;0,602263
199;22,00806;192,168,100,21;192,99,44,195;TLSv1,2;82;Application Data;;22,00806;22,30939;0,301331;;-0,010626;0,311957;0,322583
200;22,30939;192,168,100,21;192,99,44,195;TCP;82;[TCP Retransmission] 61628  >  443 [PSH, ACK] Seq=1 Ack=25 Win=512 Len=28;;22,30939;22,62134;0,311957;;-0,045369;0,357326;0,402695
201;22,62134;192,168,100,21;192,99,44,195;TCP;82;[TCP Retransmission] 61628  >  443 [PSH, ACK] Seq=1 Ack=25 Win=512 Len=28;;22,62134;22,97867;0,357326;;0,13837;0,218956;0,080586
204;22,97867;192,168,100,21;74.125.200.119;TCP;117;[TCP Retransmission] 62203  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=4098 Len=63;;22,97867;23,19763;0,218956;;0,18838;0,030576;-0,157804
207;23,19763;192,168,100,21;20,197,71,89;TCP;98;[TCP Retransmission] 62308  >  443 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=44;;23,19763;23,22820;0,030576;;-0,044751;0,075327;0,120078
208;23,22820;192,168,100,21;192,99,44,195;TCP;82;[TCP Retransmission] 61628  >  443 [PSH, ACK] Seq=1 Ack=25 Win=512 Len=28;;23,22820;23,30353;0,075327;;-0,016993;0,09232;0,109313
209;23,30353;192,168,100,21;50,116,58,41;TCP;82;[TCP Retransmission] 51145  >  8443 [PSH, ACK] Seq=29 Ack=25 Win=509 Len=28;;23,30353;23,39585;0,09232;;-0,391367;0,483687;0,875054
210;23,39585;192,168,100,21;35,186,224,47;TLSv1,2;97;Application Data;;23,39585;23,87954;0,483687;;0,241404;0,242283;0,000879
211;23,87954;192,168,100,21;157,240,217,60;TCP;94;[TCP Retransmission] 62383  >  443 [PSH, ACK] Seq=1 Ack=1 Win=514 Len=40;;23,87954;24,12182;0,242283;;0,242279;4E-06;-0,242275
217;24,12182;162.159.130.234;192,168,100,21;TCP;1013;[TCP Retransmission] 443  >  61541 [PSH, ACK] Seq=5902 Ack=55 Win=75 Len=959;;24,12182;24,12182;4E-06;;2E-06;2E-06;-3,55271E-15
218;24,12182;162.159.130.234;192,168,100,21;TLSv1,2;1078;Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data;;24,12182;24,12182;2E-06;;-4,6E-05;4,8E-05;9,4E-05
219;24,12182;162.159.130.234;192,168,100,21;TLSv1,2;708;Application Data, Application Data;;24,12182;24,12187;4,8E-05;;-2,7E-05;7,5E-05;0,000102
220;24,12187;192,168,100,21;162.159.130.234;TCP;74;[TCP Dup ACK 106#6] 61541  >  443 [ACK] Seq=55 Ack=5457 Win=514 Len=0 SLE=6007 SRE=6427 SLE=5583 SRE=6979;;24,12187;24,12195;7,5E-05;;3,7E-05;3,8E-05;1E-06
